colour	fill	x	y	showSelected1	showSelected2	PANEL
#BEBEBE	#8DA0CB	81.6759665205261	1	one	major.class	1
#BEBEBE	#66C2A5	83.7684336389	3	one	earth	1
#000000	#FC8D62	83.8282184137107	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.7983260263053	2	one	glmnet	1
#000000	#E78AC3	77.6504583499402	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.4025508170586	4	one	xgboost	1
#000000	#8DA0CB	82.5827022718215	1	balanced	major.class	1
#BEBEBE	#8DA0CB	82.5827022718215	1	one	major.class	1
#BEBEBE	#66C2A5	84.2467118373854	3	one	earth	1
#000000	#FC8D62	82.9713033080909	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.070944599442	2	one	glmnet	1
#000000	#E78AC3	77.6703866082104	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.2331606217617	4	one	xgboost	1
#000000	#8DA0CB	81.666002391391	1	balanced	major.class	1
#BEBEBE	#8DA0CB	81.666002391391	1	one	major.class	1
#BEBEBE	#66C2A5	83.6986847349542	3	one	earth	1
#BEBEBE	#FC8D62	83.6986847349542	2	one	glmnet	1
#000000	#E78AC3	78.1486648066959	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.1534475886808	4	one	xgboost	1
#000000	#8DA0CB	82.0944599442009	1	balanced	major.class	1
#BEBEBE	#8DA0CB	82.0944599442009	1	one	major.class	1
#BEBEBE	#66C2A5	84.3264248704663	3	one	earth	1
#000000	#FC8D62	0.851260641552835	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.851511660278247	2	one	glmnet	2
#000000	#E78AC3	0.889337085990192	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.890250434033834	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.865223674427783	3	one	earth	2
#000000	#FC8D62	0.86071050769846	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.858899667935813	2	one	glmnet	2
#000000	#E78AC3	0.898271808512772	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.900658009995359	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.871087747593772	3	one	earth	2
#000000	#FC8D62	0.863027431135097	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.863027431135097	2	one	glmnet	2
#000000	#E78AC3	0.896401978836456	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.899649917092822	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.871619704158755	3	one	earth	2
#000000	#FC8D62	0.857810763186329	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.857810763186329	2	one	glmnet	2
#000000	#E78AC3	0.892125115868105	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.89322282059703	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.865961771927545	3	one	earth	2
#000000	#FC8D62	0.862330057014861	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.861950632892042	2	one	glmnet	2
#000000	#E78AC3	0.892680031013681	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.89452941351584	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.873967428661694	3	one	earth	2
#000000	#FC8D62	0.860561863446812	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.860675718756063	2	one	glmnet	2
#000000	#E78AC3	0.893091542827629	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.894684694503171	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.874233187782812	3	one	earth	2
#000000	#FC8D62	0.857289796138231	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.8571088256735	2	one	glmnet	2
#000000	#E78AC3	0.891690802142961	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.89562820334473	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.86993437764171	3	one	earth	2
#000000	#FC8D62	0.856521490639054	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.856261402993382	2	one	glmnet	2
#000000	#E78AC3	0.893318301445447	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.893951609340625	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.870485877958704	3	one	earth	2
#000000	#FC8D62	0.858410849937403	2	balanced	glmnet	2
#BEBEBE	#FC8D62	0.858936623379379	2	one	glmnet	2
#000000	#E78AC3	0.892154444373714	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.89424483974155	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.87009841757379	3	one	earth	2
#BEBEBE	#FC8D62	0.861142253852846	2	one	glmnet	2
#000000	#E78AC3	0.892008960464174	4	balanced	xgboost	2
#BEBEBE	#E78AC3	0.894072959321895	4	one	xgboost	2
#000000	#8DA0CB	0.848790773130708	1	balanced	major.class	2
#BEBEBE	#8DA0CB	0.848790773130708	1	one	major.class	2
#BEBEBE	#66C2A5	0.871663491153919	3	one	earth	2
